id,name,description
T1557.003,DHCP Spoofing,'Adversaries may redirect network traffic to adversary-owned systems by spoofing Dynamic Host Configuration Protocol (DHCP) traffic and acting as a malicious DHCP server on the victim network. By achieving the adversary-in-the-middle (AiTM) position'
T1557.004,Evil Twin,'Adversaries may host seemingly genuine Wi-Fi access points to deceive users into connecting to malicious networks as a way of supporting follow-on behaviors such as Network Sniffing'
T1071,Application Layer Protocol,'Adversaries may communicate using OSI application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system'
T1071.001,Web Protocols,'Adversaries may communicate using application layer protocols associated with web traffic to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system'
T1071.002,File Transfer Protocols,'Adversaries may communicate using application layer protocols associated with transferring files to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system'
T1071.003,Mail Protocols,'Adversaries may communicate using application layer protocols associated with electronic mail delivery to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system'
T1071.004,DNS,'Adversaries may communicate using the Domain Name System (DNS) application layer protocol to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system'
T1071.005,Publish/Subscribe Protocols,'Adversaries may communicate using publish/subscribe (pub/sub) application layer protocols to avoid detection/network filtering by blending in with existing traffic. Commands to the remote system'
T1010,Application Window Discovery,'Adversaries may attempt to get a listing of open application windows. Window listings could convey information about how the system is used. For example'
T1560,Archive Collected Data,'An adversary may compress and/or encrypt data that is collected prior to exfiltration. Compressing the data can help to obfuscate the collected data and minimize the amount of data sent over the network. Encryption can be used to hide information that is being exfiltrated from detection or make exfiltration less conspicuous upon inspection by a defender.'
T1560.001,Archive via Utility,'Adversaries may use utilities to compress and/or encrypt collected data prior to exfiltration. Many utilities include functionalities to compress'
T1560.002,Archive via Library,'An adversary may compress or encrypt data that is collected prior to exfiltration using 3rd party libraries. Many libraries exist that can archive data'
T1560.003,Archive via Custom Method,'An adversary may compress or encrypt data that is collected prior to exfiltration using a custom method. Adversaries may choose to use custom archival methods'
T1123,Audio Capture,'An adversary can leverage a computer's peripheral devices (e.g.'
T1119,Automated Collection,'Once established within a system or network'
T1020,Automated Exfiltration,'Adversaries may exfiltrate data'
T1020.001,Traffic Duplication,'Adversaries may leverage traffic mirroring in order to automate data exfiltration over compromised infrastructure. Traffic mirroring is a native feature for some devices'
T1197,BITS Jobs,'Adversaries may abuse BITS jobs to persistently execute code and perform various background tasks. Windows Background Intelligent Transfer Service (BITS) is a low-bandwidth'
T1547,Boot or Logon Autostart Execution,'Adversaries may configure system settings to automatically execute a program during system boot or logon to maintain persistence or gain higher-level privileges on compromised systems. Operating systems may have mechanisms for automatically running a program on system boot or account logon. These mechanisms may include automatically executing programs that are placed in specially designated directories or are referenced by repositories that store configuration information'
T1547.001,Registry Run Keys / Startup Folder,'Adversaries may achieve persistence by adding a program to a startup folder or referencing it with a Registry run key. Adding an entry to the "run keys" in the Registry or startup folder will cause the program referenced to be executed when a user logs in. These programs will be executed under the context of the user and will have the account's associated permissions level.'
T1547.002,Authentication Package,'Adversaries may abuse authentication packages to execute DLLs when the system boots. Windows authentication package DLLs are loaded by the Local Security Authority (LSA) process at system start. They provide support for multiple logon processes and multiple security protocols to the operating system.'
T1547.003,Time Providers,'Adversaries may abuse time providers to execute DLLs when the system boots. The Windows Time service (W32Time) enables time synchronization across and within domains. W32Time time providers are responsible for retrieving time stamps from hardware/network resources and outputting these values to other network clients.'
T1547.004,Winlogon Helper DLL,'Adversaries may abuse features of Winlogon to execute DLLs and/or executables when a user logs in. Winlogon.exe is a Windows component responsible for actions at logon/logoff as well as the secure attention sequence (SAS) triggered by Ctrl-Alt-Delete. Registry entries in HKLM\Software[\Wow6432Node\]\Microsoft\Windows NT\CurrentVersion\Winlogon\ and HKCU\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\ are used to manage additional helper programs and functionalities that support Winlogon.'
T1547.005,Security Support Provider,'Adversaries may abuse security support providers (SSPs) to execute DLLs when the system boots. Windows SSP DLLs are loaded into the Local Security Authority (LSA) process at system start. Once loaded into the LSA'
T1547.006,Kernel Modules and Extensions,'Adversaries may modify the kernel to automatically execute programs on system boot. Loadable Kernel Modules (LKMs) are pieces of code that can be loaded and unloaded into the kernel upon demand. They extend the functionality of the kernel without the need to reboot the system. For example'
T1547.007,Re-opened Applications,'Adversaries may modify plist files to automatically run an application when a user logs in. When a user logs out or restarts via the macOS Graphical User Interface (GUI)'
T1547.008,LSASS Driver,'Adversaries may modify or add LSASS drivers to obtain persistence on compromised systems. The Windows security subsystem is a set of components that manage and enforce the security policy for a computer or domain. The Local Security Authority (LSA) is the main component responsible for local security policy and user authentication. The LSA includes multiple dynamic link libraries (DLLs) associated with various other security functions'
T1547.009,Shortcut Modification,'Adversaries may create or modify shortcuts that can execute a program during system boot or user login. Shortcuts or symbolic links are used to reference other files or programs that will be opened or executed when the shortcut is clicked or executed by a system startup process.'
T1547.010,Port Monitors,'Adversaries may use port monitors to run an adversary supplied DLL during system boot for persistence or privilege escalation. A port monitor can be set through the AddMonitor API call to set a DLL to be loaded at startup. This DLL can be located in C:\Windows\System32 and will be loaded and run by the print spooler service'
T1547.012,Print Processors,'Adversaries may abuse print processors to run malicious DLLs during system boot for persistence and/or privilege escalation. Print processors are DLLs that are loaded by the print spooler service'
T1547.013,XDG Autostart Entries,'Adversaries may add or modify XDG Autostart Entries to execute malicious programs or commands when a user’s desktop environment is loaded at login. XDG Autostart entries are available for any XDG-compliant Linux system. XDG Autostart entries use Desktop Entry files (.desktop) to configure the user’s desktop environment upon user login. These configuration files determine what applications launch upon user login'
T1547.014,Active Setup,'Adversaries may achieve persistence by adding a Registry key to the Active Setup of the local machine. Active Setup is a Windows mechanism that is used to execute programs when a user logs in. The value stored in the Registry key will be executed after a user logs into the computer. These programs will be executed under the context of the user and will have the account's associated permissions level.'
T1547.015,Login Items,'Adversaries may add login items to execute upon user login to gain persistence or escalate privileges. Login items are applications'
T1037,Boot or Logon Initialization Scripts,'Adversaries may use scripts automatically executed at boot or logon initialization to establish persistence. Initialization scripts can be used to perform administrative functions'
T1037.001,Logon Script (Windows),'Adversaries may use Windows logon scripts automatically executed at logon initialization to establish persistence. Windows allows logon scripts to be run whenever a specific user or group of users log into a system. This is done via adding a path to a script to the HKCU\Environment\UserInitMprLogonScript Registry key.'
T1037.002,Login Hook,'Adversaries may use a Login Hook to establish persistence executed upon user logon. A login hook is a plist file that points to a specific script to execute with root privileges upon user logon. The plist file is located in the /Library/Preferences/com.apple.loginwindow.plist file and can be modified using the defaults command-line utility. This behavior is the same for logout hooks where a script can be executed upon user logout. All hooks require administrator permissions to modify or create hooks.'
T1037.003,Network Logon Script,'Adversaries may use network logon scripts automatically executed at logon initialization to establish persistence. Network logon scripts can be assigned using Active Directory or Group Policy Objects. These logon scripts run with the privileges of the user they are assigned to. Depending on the systems within the network'
T1037.004,RC Scripts,'Adversaries may establish persistence by modifying RC scripts which are executed during a Unix-like system’s startup. These files allow system administrators to map and start custom services at startup for different run levels. RC scripts require root privileges to modify.'
T1037.005,Startup Items,'Adversaries may use startup items automatically executed at boot initialization to establish persistence. Startup items execute during the final phase of the boot process and contain shell scripts or other executable files along with configuration information used by the system to determine the execution order for all startup items.'
T1176,Browser Extensions,'Adversaries may abuse Internet browser extensions to establish persistent access to victim systems. Browser extensions or plugins are small programs that can add functionality and customize aspects of Internet browsers. They can be installed directly or through a browser's app store and generally have access and permissions to everything that the browser can access.'
T1217,Browser Information Discovery,'Adversaries may enumerate information about browsers to learn more about compromised environments. Data saved by browsers (such as bookmarks'
T1185,Browser Session Hijacking,'Adversaries may take advantage of security vulnerabilities and inherent functionality in browser software to change content'
T1110,Brute Force,'Adversaries may use brute force techniques to gain access to accounts when passwords are unknown or when password hashes are obtained. Without knowledge of the password for an account or set of accounts'
T1110.001,Password Guessing,'Adversaries with no prior knowledge of legitimate credentials within the system or environment may guess passwords to attempt access to accounts. Without knowledge of the password for an account'
T1110.002,Password Cracking,'Adversaries may use password cracking to attempt to recover usable credentials'
T1110.003,Password Spraying,'Adversaries may use a single or small list of commonly used passwords against many different accounts to attempt to acquire valid account credentials. Password spraying uses one password (e.g. 'Password01')'
T1110.004,Credential Stuffing,'Adversaries may use credentials obtained from breach dumps of unrelated accounts to gain access to target accounts through credential overlap. Occasionally'
T1612,Build Image on Host,'Adversaries may build a container image directly on a host to bypass defenses that monitor for the retrieval of malicious images from a public registry. A remote build request may be sent to the Docker API that includes a Dockerfile that pulls a vanilla base image'
T1115,Clipboard Data,'Adversaries may collect data stored in the clipboard from users copying information within or between applications.'
T1651,Cloud Administration Command,'Adversaries may abuse cloud management services to execute commands within virtual machines. Resources such as AWS Systems Manager'
T1580,Cloud Infrastructure Discovery,'An adversary may attempt to discover infrastructure and resources that are available within an infrastructure-as-a-service (IaaS) environment. This includes compute service resources such as instances'
T1538,Cloud Service Dashboard,'An adversary may use a cloud service dashboard GUI with stolen credentials to gain useful information from an operational cloud environment'
T1526,Cloud Service Discovery,'An adversary may attempt to enumerate the cloud services running on a system after gaining access. These methods can differ from platform-as-a-service (PaaS)'
T1619,Cloud Storage Object Discovery,'Adversaries may enumerate objects in cloud storage infrastructure. Adversaries may use this information during automated discovery to shape follow-on behaviors'
T1059,Command and Scripting Interpreter,'Adversaries may abuse command and script interpreters to execute commands'
T1059.001,PowerShell,'Adversaries may abuse PowerShell commands and scripts for execution. PowerShell is a powerful interactive command-line interface and scripting environment included in the Windows operating system. Adversaries can use PowerShell to perform a number of actions'
T1059.002,AppleScript,'Adversaries may abuse AppleScript for execution. AppleScript is a macOS scripting language designed to control applications and parts of the OS via inter-application messages called AppleEvents. These AppleEvent messages can be sent independently or easily scripted with AppleScript. These events can locate open windows'
T1059.003,Windows Command Shell,'Adversaries may abuse the Windows command shell for execution. The Windows command shell (cmd) is the primary command prompt on Windows systems. The Windows command prompt can be used to control almost any aspect of a system'
T1059.004,Unix Shell,'Adversaries may abuse Unix shell commands and scripts for execution. Unix shells are the primary command prompt on Linux and macOS systems'
T1059.005,Visual Basic,'Adversaries may abuse Visual Basic (VB) for execution. VB is a programming language created by Microsoft with interoperability with many Windows technologies such as Component Object Model and the Native API through the Windows API. Although tagged as legacy with no planned future evolutions'
T1059.006,Python,'Adversaries may abuse Python commands and scripts for execution. Python is a very popular scripting/programming language'
T1059.007,JavaScript,'Adversaries may abuse various implementations of JavaScript for execution. JavaScript (JS) is a platform-independent scripting language (compiled just-in-time at runtime) commonly associated with scripts in webpages'
T1059.008,Network Device CLI,'Adversaries may abuse scripting or built-in command line interpreters (CLI) on network devices to execute malicious command and payloads. The CLI is the primary means through which users and administrators interact with the device in order to view system information'
T1059.009,Cloud API,'Adversaries may abuse cloud APIs to execute malicious commands. APIs available in cloud environments provide various functionalities and are a feature-rich method for programmatic access to nearly all aspects of a tenant. These APIs may be utilized through various methods such as command line interpreters (CLIs)'
T1059.010,AutoHotKey & AutoIT,'Adversaries may execute commands and perform malicious tasks using AutoIT and AutoHotKey automation scripts. AutoIT and AutoHotkey (AHK) are scripting languages that enable users to automate Windows tasks. These automation scripts can be used to perform a wide variety of actions'
T1059.011,Lua,'Adversaries may abuse Lua commands and scripts for execution. Lua is a cross-platform scripting and programming language primarily designed for embedded use in applications. Lua can be executed on the command-line (through the stand-alone lua interpreter)'
T1092,Communication Through Removable Media,'Adversaries can perform command and control between compromised hosts on potentially disconnected networks using removable media to transfer commands from system to system. Both systems would need to be compromised'
T1586,Compromise Accounts,'Adversaries may compromise accounts with services that can be used during targeting. For operations incorporating social engineering'
T1586.001,Social Media Accounts,'Adversaries may compromise social media accounts that can be used during targeting. For operations incorporating social engineering'
T1586.002,Email Accounts,'Adversaries may compromise email accounts that can be used during targeting. Adversaries can use compromised email accounts to further their operations'
T1586.003,Cloud Accounts,'Adversaries may compromise cloud accounts that can be used during targeting. Adversaries can use compromised cloud accounts to further their operations'
T1554,Compromise Host Software Binary,'Adversaries may modify host software binaries to establish persistent access to systems. Software binaries/executables provide a wide range of system commands or services'
T1584,Compromise Infrastructure,'Adversaries may compromise third-party infrastructure that can be used during targeting. Infrastructure solutions include physical or cloud servers'
T1584.001,Domains,'Adversaries may hijack domains and/or subdomains that can be used during targeting. Domain registration hijacking is the act of changing the registration of a domain name without the permission of the original registrant. Adversaries may gain access to an email account for the person listed as the owner of the domain. The adversary can then claim that they forgot their password in order to make changes to the domain registration. Other possibilities include social engineering a domain registration help desk to gain access to an account'
T1584.002,DNS Server,'Adversaries may compromise third-party DNS servers that can be used during targeting. During post-compromise activity'
T1584.003,Virtual Private Server,'Adversaries may compromise third-party Virtual Private Servers (VPSs) that can be used during targeting. There exist a variety of cloud service providers that will sell virtual machines/containers as a service. Adversaries may compromise VPSs purchased by third-party entities. By compromising a VPS to use as infrastructure'
T1584.004,Server,'Adversaries may compromise third-party servers that can be used during targeting. Use of servers allows an adversary to stage'
T1584.005,Botnet,'Adversaries may compromise numerous third-party systems to form a botnet that can be used during targeting. A botnet is a network of compromised systems that can be instructed to perform coordinated tasks. Instead of purchasing/renting a botnet from a booter/stresser service'
T1584.006,Web Services,'Adversaries may compromise access to third-party web services that can be used during targeting. A variety of popular websites exist for legitimate users to register for web-based services'
T1584.007,Serverless,'Adversaries may compromise serverless cloud infrastructure'
T1584.008,Network Devices,'Adversaries may compromise third-party network devices that can be used during targeting. Network devices'
T1609,Container Administration Command,'Adversaries may abuse a container administration service to execute commands within a container. A container administration service such as the Docker daemon'
T1613,Container and Resource Discovery,'Adversaries may attempt to discover containers and other resources that are available within a containers environment. Other resources may include images'
T1659,Content Injection,'Adversaries may gain access and continuously communicate with victims by injecting malicious content into systems through online network traffic. Rather than luring victims to malicious payloads hosted on a compromised website (i.e.'
T1136,Create Account,'Adversaries may create an account to maintain access to victim systems. With a sufficient level of access'
T1136.001,Local Account,'Adversaries may create a local account to maintain access to victim systems. Local accounts are those configured by an organization for use by users'
T1136.002,Domain Account,'Adversaries may create a domain account to maintain access to victim systems. Domain accounts are those managed by Active Directory Domain Services where access and permissions are configured across systems and services that are part of that domain. Domain accounts can cover user'
T1136.003,Cloud Account,'Adversaries may create a cloud account to maintain access to victim systems. With a sufficient level of access'
T1543,Create or Modify System Process,'Adversaries may create or modify system-level processes to repeatedly execute malicious payloads as part of persistence. When operating systems boot up'
T1543.001,Launch Agent,'Adversaries may create or modify launch agents to repeatedly execute malicious payloads as part of persistence. When a user logs in'
T1543.002,Systemd Service,'Adversaries may create or modify systemd services to repeatedly execute malicious payloads as part of persistence. Systemd is a system and service manager commonly used for managing background daemon processes (also known as services) and other system resources. Systemd is the default initialization (init) system on many Linux distributions replacing legacy init systems'
T1543.003,Windows Service,'Adversaries may create or modify Windows services to repeatedly execute malicious payloads as part of persistence. When Windows boots up'
T1543.004,Launch Daemon,'Adversaries may create or modify Launch Daemons to execute malicious payloads as part of persistence. Launch Daemons are plist files used to interact with Launchd'
T1543.005,Container Service,'Adversaries may create or modify container or container cluster management tools that run as daemons'
T1555,Credentials from Password Stores,'Adversaries may search for common password storage locations to obtain user credentials. Passwords are stored in several places on a system'
T1555.001,Keychain,'Adversaries may acquire credentials from Keychain. Keychain (or Keychain Services) is the macOS credential management system that stores account names'
T1555.002,Securityd Memory,'An adversary with root access may gather credentials by reading securityd’s memory. securityd is a service/daemon responsible for implementing security protocols such as encryption and authorization. A privileged adversary may be able to scan through securityd's memory to find the correct sequence of keys to decrypt the user’s logon keychain. This may provide the adversary with various plaintext passwords'
T1555.003,Credentials from Web Browsers,'Adversaries may acquire credentials from web browsers by reading files specific to the target browser. Web browsers commonly save credentials such as website usernames and passwords so that they do not need to be entered manually in the future. Web browsers typically store the credentials in an encrypted format within a credential store; however'
T1555.004,Windows Credential Manager,'Adversaries may acquire credentials from the Windows Credential Manager. The Credential Manager stores credentials for signing into websites'
T1555.005,Password Managers,'Adversaries may acquire user credentials from third-party password managers. Password managers are applications designed to store user credentials'
T1555.006,Cloud Secrets Management Stores,'Adversaries may acquire credentials from cloud-native secret management solutions such as AWS Secrets Manager'
T1485,Data Destruction,'Adversaries may destroy data and files on specific systems or in large numbers on a network to interrupt availability to systems'
T1485.001,Lifecycle-Triggered Deletion,'Adversaries may modify the lifecycle policies of a cloud storage bucket to destroy all objects stored within.'
T1132,Data Encoding,'Adversaries may encode data to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a standard data encoding system. Use of data encoding may adhere to existing protocol specifications and includes use of ASCII'
T1132.001,Standard Encoding,'Adversaries may encode data with a standard data encoding system to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a standard data encoding system that adheres to existing protocol specifications. Common data encoding schemes include ASCII'
T1132.002,Non-Standard Encoding,'Adversaries may encode data with a non-standard data encoding system to make the content of command and control traffic more difficult to detect. Command and control (C2) information can be encoded using a non-standard data encoding system that diverges from existing protocol specifications. Non-standard data encoding schemes may be based on or related to standard data encoding schemes'
T1486,Data Encrypted for Impact,'Adversaries may encrypt data on target systems or on large numbers of systems in a network to interrupt availability to system and network resources. They can attempt to render stored data inaccessible by encrypting files or data on local and remote drives and withholding access to a decryption key. This may be done in order to extract monetary compensation from a victim in exchange for decryption or a decryption key (ransomware) or to render data permanently inaccessible in cases where the key is not saved or transmitted.'
T1530,Data from Cloud Storage,'Adversaries may access data from cloud storage.'
T1602,Data from Configuration Repository,'Adversaries may collect data related to managed devices from configuration repositories. Configuration repositories are used by management systems in order to configure'
T1602.001,SNMP (MIB Dump),'Adversaries may target the Management Information Base (MIB) to collect and/or mine valuable information in a network managed using Simple Network Management Protocol (SNMP).'
T1602.002,Network Device Configuration Dump,'Adversaries may access network configuration files to collect sensitive data about the device and the network. The network configuration is a file containing parameters that determine the operation of the device. The device typically stores an in-memory copy of the configuration while operating'
T1213,Data from Information Repositories,'Adversaries may leverage information repositories to mine valuable information. Information repositories are tools that allow for storage of information'
T1213.001,Confluence,'Adversaries may leverage Confluence repositories to mine valuable information. Often found in development environments alongside Atlassian JIRA'
T1213.002,Sharepoint,'Adversaries may leverage the SharePoint repository as a source to mine valuable information. SharePoint will often contain useful information for an adversary to learn about the structure and functionality of the internal network and systems. For example'
T1213.003,Code Repositories,'Adversaries may leverage code repositories to collect valuable information. Code repositories are tools/services that store source code and automate software builds. They may be hosted internally or privately on third party sites such as Github'
T1213.004,Customer Relationship Management Software,'Adversaries may leverage Customer Relationship Management (CRM) software to mine valuable information. CRM software is used to assist organizations in tracking and managing customer interactions'
T1213.005,Messaging Applications,'Adversaries may leverage chat and messaging applications'
T1005,Data from Local System,'Adversaries may search local system sources'
T1039,Data from Network Shared Drive,'Adversaries may search network shares on computers they have compromised to find files of interest. Sensitive data can be collected from remote systems via shared network drives (host shared directory'
T1025,Data from Removable Media,'Adversaries may search connected removable media on computers they have compromised to find files of interest. Sensitive data can be collected from any removable media (optical disk drive'
T1565,Data Manipulation,'Adversaries may insert'
T1565.001,Stored Data Manipulation,'Adversaries may insert'
T1565.002,Transmitted Data Manipulation,'Adversaries may alter data en route to storage or other systems in order to manipulate external outcomes or hide activity'
T1565.003,Runtime Data Manipulation,'Adversaries may modify systems in order to manipulate the data as it is accessed and displayed to an end user'
T1001,Data Obfuscation,'Adversaries may obfuscate command and control traffic to make it more difficult to detect. Command and control (C2) communications are hidden (but not necessarily encrypted) in an attempt to make the content more difficult to discover or decipher and to make the communication less conspicuous and hide commands from being seen. This encompasses many methods'
T1001.001,Junk Data,'Adversaries may add junk data to protocols used for command and control to make detection more difficult. By adding random or meaningless data to the protocols used for command and control'
T1001.002,Steganography,'Adversaries may use steganographic techniques to hide command and control traffic to make detection efforts more difficult. Steganographic techniques can be used to hide data in digital messages that are transferred between systems. This hidden information can be used for command and control of compromised systems. In some cases'
T1001.003,Protocol or Service Impersonation,'Adversaries may impersonate legitimate protocols or web service traffic to disguise command and control activity and thwart analysis efforts. By impersonating legitimate protocols or web services'
T1074,Data Staged,'Adversaries may stage collected data in a central location or directory prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as Archive Collected Data. Interactive command shells may be used'
T1074.001,Local Data Staging,'Adversaries may stage collected data in a central location or directory on the local system prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as Archive Collected Data. Interactive command shells may be used'
T1074.002,Remote Data Staging,'Adversaries may stage data collected from multiple systems in a central location or directory on one system prior to Exfiltration. Data may be kept in separate files or combined into one file through techniques such as Archive Collected Data. Interactive command shells may be used'
T1030,Data Transfer Size Limits,'An adversary may exfiltrate data in fixed size chunks instead of whole files or limit packet sizes below certain thresholds. This approach may be used to avoid triggering network data transfer threshold alerts.'
T1622,Debugger Evasion,'Adversaries may employ various means to detect and avoid debuggers. Debuggers are typically used by defenders to trace and/or analyze the execution of potential malware payloads.'
T1491,Defacement,'Adversaries may modify visual content available internally or externally to an enterprise network'
T1491.001,Internal Defacement,'An adversary may deface systems internal to an organization in an attempt to intimidate or mislead users'
T1491.002,External Defacement,'An adversary may deface systems external to an organization in an attempt to deliver messaging'
